# Confusable characters, reduced to what matters for domain names.
# Generated by scripts/refresh_confusables.py — do not edit by hand.
# Source: https://www.unicode.org/Public/security/latest/confusables.txt
# Terms of use: https://www.unicode.org/terms_of_use.html
#
# ascii	codepoint	script	name
-	2CBB	COPTIC	COPTIC SMALL LETTER DIALECT-P NI
2	01A8	LATIN	LATIN SMALL LETTER TONE TWO
2	03E9	COPTIC	COPTIC SMALL LETTER HORI
2	14BF	CANADIAN	CANADIAN SYLLABICS SAYISI M
2	A645	CYRILLIC	CYRILLIC SMALL LETTER REVERSED DZE
2	A75B	LATIN	LATIN SMALL LETTER R ROTUNDA
3	021D	LATIN	LATIN SMALL LETTER YOGH
3	025C	LATIN	LATIN SMALL LETTER REVERSED OPEN E
3	0292	LATIN	LATIN SMALL LETTER EZH
3	0437	CYRILLIC	CYRILLIC SMALL LETTER ZE
3	04E1	CYRILLIC	CYRILLIC SMALL LETTER ABKHASIAN DZE
3	0969	DEVANAGARI	DEVANAGARI DIGIT THREE
3	0AE9	GUJARATI	GUJARATI DIGIT THREE
3	2C9D	COPTIC	COPTIC SMALL LETTER KSI
3	2CC5	COPTIC	COPTIC SMALL LETTER OLD COPTIC SHEI
3	2CCD	COPTIC	COPTIC SMALL LETTER OLD COPTIC HORI
3	A76B	LATIN	LATIN SMALL LETTER ET
3	118CA	WARANG CITI	WARANG CITI SMALL LETTER ANG
3	16F3B	MIAO	MIAO LETTER ZA
4	AB9E	CHEROKEE	CHEROKEE SMALL LETTER SE
4	118CF	WARANG CITI	WARANG CITI SMALL LETTER UC
5	01BD	LATIN	LATIN SMALL LETTER TONE FIVE
5	118DB	WARANG CITI	WARANG CITI SMALL LETTER HORR
6	03ED	COPTIC	COPTIC SMALL LETTER SHIMA
6	0431	CYRILLIC	CYRILLIC SMALL LETTER BE
6	2CD3	COPTIC	COPTIC SMALL LETTER OLD COPTIC HEI
6	2CDD	COPTIC	COPTIC SMALL LETTER OLD NUBIAN SHIMA
6	ABBE	CHEROKEE	CHEROKEE SMALL LETTER WV
6	118D5	WARANG CITI	WARANG CITI SMALL LETTER AT
7	104FA	OSAGE	OSAGE SMALL LETTER ZA
7	118C6	WARANG CITI	WARANG CITI SMALL LETTER II
8	0223	LATIN	LATIN SMALL LETTER OU
8	09EA	BENGALI	BENGALI DIGIT FOUR
8	0A6A	GURMUKHI	GURMUKHI DIGIT FOUR
8	0B03	ORIYA	ORIYA SIGN VISARGA
8	1031A	OLD ITALIC	OLD ITALIC LETTER EF
9	09ED	BENGALI	BENGALI DIGIT SEVEN
9	0A67	GURMUKHI	GURMUKHI DIGIT ONE
9	0B68	ORIYA	ORIYA DIGIT TWO
9	0D6D	MALAYALAM	MALAYALAM DIGIT SEVEN
9	2CCB	COPTIC	COPTIC SMALL LETTER DIALECT-P HORI
9	A76F	LATIN	LATIN SMALL LETTER CON
9	118CC	WARANG CITI	WARANG CITI SMALL LETTER KO
9	118D6	WARANG CITI	WARANG CITI SMALL LETTER AM
a	0251	LATIN	LATIN SMALL LETTER ALPHA
a	03B1	GREEK	GREEK SMALL LETTER ALPHA
a	0430	CYRILLIC	CYRILLIC SMALL LETTER A
a	15C5	CANADIAN	CANADIAN SYLLABICS CARRIER GHO
a	A4EE	LISU	LISU LETTER A
a	AB7A	CHEROKEE	CHEROKEE SMALL LETTER GO
a	102A0	CARIAN	CARIAN LETTER A
a	16F40	MIAO	MIAO LETTER ZZYA
b	0185	LATIN	LATIN SMALL LETTER TONE SIX
b	03B2	GREEK	GREEK SMALL LETTER BETA
b	0432	CYRILLIC	CYRILLIC SMALL LETTER VE
b	044C	CYRILLIC	CYRILLIC SMALL LETTER SOFT SIGN
b	13FC	CHEROKEE	CHEROKEE SMALL LETTER YV
b	1472	CANADIAN	CANADIAN SYLLABICS KA
b	15AF	CANADIAN	CANADIAN SYLLABICS AIVILIK B
b	15F7	CANADIAN	CANADIAN SYLLABICS CARRIER KHE
b	2C83	COPTIC	COPTIC SMALL LETTER VIDA
b	A4D0	LISU	LISU LETTER BA
b	A7B5	LATIN	LATIN SMALL LETTER BETA
b	AB9F	CHEROKEE	CHEROKEE SMALL LETTER SI
b	10282	LYCIAN	LYCIAN LETTER B
b	102A1	CARIAN	CARIAN LETTER P2
b	10301	OLD ITALIC	OLD ITALIC LETTER BE
c	03F2	GREEK LUNATE SIGMA	GREEK LUNATE SIGMA SYMBOL
c	0441	CYRILLIC	CYRILLIC SMALL LETTER ES
c	1004	MYANMAR	MYANMAR LETTER NGA
c	105A	MYANMAR	MYANMAR LETTER MON NGA
c	1D04	LATIN	LATIN LETTER SMALL CAPITAL C
c	2CA5	COPTIC	COPTIC SMALL LETTER SIMA
c	A4DA	LISU	LISU LETTER CA
c	ABAF	CHEROKEE	CHEROKEE SMALL LETTER TLI
c	102A2	CARIAN	CARIAN LETTER D
c	10302	OLD ITALIC	OLD ITALIC LETTER KE
c	1043D	DESERET	DESERET SMALL LETTER CHEE
c	1051C	ELBASAN	ELBASAN LETTER SHE
c	118E9	WARANG CITI	WARANG CITI DIGIT NINE
d	0501	CYRILLIC	CYRILLIC SMALL LETTER KOMI DE
d	146F	CANADIAN	CANADIAN SYLLABICS KO
d	15DE	CANADIAN	CANADIAN SYLLABICS CARRIER THE
d	15EA	CANADIAN	CANADIAN SYLLABICS CARRIER PE
d	A4D2	LISU	LISU LETTER PHA
d	A4D3	LISU	LISU LETTER DA
d	AB70	CHEROKEE	CHEROKEE SMALL LETTER A
d	ABB7	CHEROKEE	CHEROKEE SMALL LETTER TSU
e	03B5	GREEK	GREEK SMALL LETTER EPSILON
e	0435	CYRILLIC	CYRILLIC SMALL LETTER IE
e	04BD	CYRILLIC	CYRILLIC SMALL LETTER ABKHASIAN CHE
e	2D39	TIFINAGH	TIFINAGH LETTER YADD
e	A4F0	LISU	LISU LETTER E
e	AB32	LATIN	LATIN SMALL LETTER BLACKLETTER E
e	AB7C	CHEROKEE	CHEROKEE SMALL LETTER GV
e	10286	LYCIAN	LYCIAN LETTER I
e	118C6	WARANG CITI	WARANG CITI SMALL LETTER II
e	118CE	WARANG CITI	WARANG CITI SMALL LETTER YUJ
f	0192	LATIN	LATIN SMALL LETTER F WITH HOOK
f	03DD	GREEK	GREEK SMALL LETTER DIGAMMA
f	0584	ARMENIAN	ARMENIAN SMALL LETTER KEH
f	15B4	CANADIAN	CANADIAN SYLLABICS BLACKFOOT WE
f	1E9D	LATIN	LATIN SMALL LETTER LONG S WITH HIGH STROKE
f	A4DD	LISU	LISU LETTER TSA
f	A799	LATIN	LATIN SMALL LETTER F WITH STROKE
f	AB35	LATIN	LATIN SMALL LETTER LENIS F
f	10287	LYCIAN	LYCIAN LETTER W
f	102A5	CARIAN	CARIAN LETTER R
f	10525	ELBASAN	ELBASAN LETTER GHE
f	118C2	WARANG CITI	WARANG CITI SMALL LETTER WI
g	018D	LATIN	LATIN SMALL LETTER TURNED DELTA
g	0261	LATIN	LATIN SMALL LETTER SCRIPT G
g	050D	CYRILLIC	CYRILLIC SMALL LETTER KOMI SJE
g	0581	ARMENIAN	ARMENIAN SMALL LETTER CO
g	13FB	CHEROKEE	CHEROKEE SMALL LETTER YU
g	1D83	LATIN	LATIN SMALL LETTER G WITH PALATAL HOOK
g	A4D6	LISU	LISU LETTER GA
g	AB90	CHEROKEE	CHEROKEE SMALL LETTER NAH
h	03B7	GREEK	GREEK SMALL LETTER ETA
h	043D	CYRILLIC	CYRILLIC SMALL LETTER EN
h	04BB	CYRILLIC	CYRILLIC SMALL LETTER SHHA
h	0570	ARMENIAN	ARMENIAN SMALL LETTER HO
h	157C	CANADIAN	CANADIAN SYLLABICS NUNAVUT H
h	2C8F	COPTIC	COPTIC SMALL LETTER HATE
h	A4E7	LISU	LISU LETTER XA
h	AB8B	CHEROKEE	CHEROKEE SMALL LETTER MI
h	AB92	CHEROKEE	CHEROKEE SMALL LETTER NI
h	102CF	CARIAN	CARIAN LETTER E2
i	0131	LATIN	LATIN SMALL LETTER DOTLESS I
i	0269	LATIN	LATIN SMALL LETTER IOTA
i	026A	LATIN	LATIN LETTER SMALL CAPITAL I
i	03B9	GREEK	GREEK SMALL LETTER IOTA
i	0456	CYRILLIC	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
i	0582	ARMENIAN	ARMENIAN SMALL LETTER YIWN
i	2C93	COPTIC	COPTIC SMALL LETTER IAUDA
i	A647	CYRILLIC	CYRILLIC SMALL LETTER IOTA
i	AB75	CHEROKEE	CHEROKEE SMALL LETTER V
i	118C3	WARANG CITI	WARANG CITI SMALL LETTER YU
j	029D	LATIN	LATIN SMALL LETTER J WITH CROSSED-TAIL
j	03F3	GREEK	GREEK LETTER YOT
j	0458	CYRILLIC	CYRILLIC SMALL LETTER JE
j	148D	CANADIAN	CANADIAN SYLLABICS CO
j	A4D9	LISU	LISU LETTER JA
j	AB7B	CHEROKEE	CHEROKEE SMALL LETTER GU
k	03BA	GREEK	GREEK SMALL LETTER KAPPA
k	043A	CYRILLIC	CYRILLIC SMALL LETTER KA
k	16D5	RUNIC	RUNIC LETTER OPEN-P
k	2C95	COPTIC	COPTIC SMALL LETTER KAPA
k	A4D7	LISU	LISU LETTER KA
k	ABB6	CHEROKEE	CHEROKEE SMALL LETTER TSO
k	10518	ELBASAN	ELBASAN LETTER QE
l	01C0	LATIN	LATIN LETTER DENTAL CLICK
l	0269	LATIN	LATIN SMALL LETTER IOTA
l	03B9	GREEK	GREEK SMALL LETTER IOTA
l	0456	CYRILLIC	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
l	04CF	CYRILLIC	CYRILLIC SMALL LETTER PALOCHKA
l	06F1	EXTENDED ARABIC-INDIC	EXTENDED ARABIC-INDIC DIGIT ONE
l	14AA	CANADIAN	CANADIAN SYLLABICS MA
l	16C1	RUNIC	RUNIC LETTER ISAZ IS ISS I
l	2C93	COPTIC	COPTIC SMALL LETTER IAUDA
